date,store_id,item_id,category,price,promo_flag,event_name,target_sales
2023-01-01,store_1,item_01,Produce,5.22,1,Holiday,24.7
2023-01-02,store_1,item_01,Produce,4.62,1,Promo,12.43
2023-01-03,store_1,item_01,Produce,5.08,1,Promo,14.41
2023-01-04,store_1,item_01,Produce,5.5,0,None,8.92
2023-01-05,store_1,item_01,Produce,5.69,0,None,12.72
2023-01-06,store_1,item_01,Produce,5.51,0,None,13.68
2023-01-07,store_1,item_01,Produce,5.6,0,None,10.69
2023-01-08,store_1,item_01,Produce,5.58,0,None,10.48
2023-01-09,store_1,item_01,Produce,5.69,0,None,10.77
2023-01-10,store_1,item_01,Produce,5.46,0,None,9.42
2023-01-11,store_1,item_01,Produce,5.77,0,None,10.5
2023-01-12,store_1,item_01,Produce,5.41,0,None,10.27
2023-01-13,store_1,item_01,Produce,5.62,0,None,11.87
2023-01-14,store_1,item_01,Produce,5.59,0,None,13.9
2023-01-15,store_1,item_01,Produce,5.97,0,Holiday,15.14
2023-01-16,store_1,item_01,Produce,5.39,0,None,9.24
2023-01-17,store_1,item_01,Produce,5.64,0,None,13.75
2023-01-18,store_1,item_01,Produce,5.47,0,None,9.15
2023-01-19,store_1,item_01,Produce,5.32,0,None,12.85
2023-01-20,store_1,item_01,Produce,5.66,0,None,12.38
2023-01-21,store_1,item_01,Produce,5.35,0,None,13.74
2023-01-22,store_1,item_01,Produce,5.53,0,None,13.6
2023-01-23,store_1,item_01,Produce,5.69,0,None,11.66
2023-01-24,store_1,item_01,Produce,5.65,0,None,11.33
2023-01-25,store_1,item_01,Produce,5.56,0,None,12.76
2023-01-26,store_1,item_01,Produce,5.18,0,None,10.76
2023-01-27,store_1,item_01,Produce,5.4,0,None,9.87
2023-01-28,store_1,item_01,Produce,5.44,0,Holiday,20.61
2023-01-29,store_1,item_01,Produce,5.31,0,None,15.75
2023-01-30,store_1,item_01,Produce,5.13,0,None,10.85
2023-01-31,store_1,item_01,Produce,5.54,0,None,12.81
2023-02-01,store_1,item_01,Produce,5.66,0,None,13.26
2023-02-02,store_1,item_01,Produce,5.42,0,None,10.43
2023-02-03,store_1,item_01,Produce,5.69,0,None,10.92
2023-02-04,store_1,item_01,Produce,5.22,0,None,10.97
2023-02-05,store_1,item_01,Produce,5.3,0,None,14.85
2023-02-06,store_1,item_01,Produce,5.53,0,None,13.23
2023-02-07,store_1,item_01,Produce,4.96,1,Promo,16.58
2023-02-08,store_1,item_01,Produce,5.19,1,Promo,15.28
2023-02-09,store_1,item_01,Produce,5.15,1,Promo,14.51
2023-02-10,store_1,item_01,Produce,5.42,0,None,10.85
2023-02-11,store_1,item_01,Produce,5.24,0,None,15.09
2023-02-12,store_1,item_01,Produce,5.4,0,None,13.85
2023-02-13,store_1,item_01,Produce,5.61,0,None,12.81
2023-02-14,store_1,item_01,Produce,5.65,0,None,11.5
2023-02-15,store_1,item_01,Produce,5.41,0,None,11.75
2023-02-16,store_1,item_01,Produce,5.13,0,None,8.7
2023-02-17,store_1,item_01,Produce,5.21,0,None,9.75
2023-02-18,store_1,item_01,Produce,5.59,0,None,11.72
2023-02-19,store_1,item_01,Produce,5.42,0,None,17.2
2023-02-20,store_1,item_01,Produce,5.42,0,None,13.87
2023-02-21,store_1,item_01,Produce,5.29,0,None,11.73
2023-02-22,store_1,item_01,Produce,5.29,0,None,11.45
2023-02-23,store_1,item_01,Produce,5.68,0,None,7.87
2023-02-24,store_1,item_01,Produce,5.6,0,None,12.69
2023-02-25,store_1,item_01,Produce,5.37,0,None,10.9
2023-02-26,store_1,item_01,Produce,5.52,0,None,13.02
2023-02-27,store_1,item_01,Produce,5.55,0,None,12.31
2023-02-28,store_1,item_01,Produce,5.85,0,None,11.5
2023-03-01,store_1,item_01,Produce,5.27,0,None,12.97
2023-03-02,store_1,item_01,Produce,5.55,0,None,15.64
2023-03-03,store_1,item_01,Produce,5.68,0,None,13.17
2023-03-04,store_1,item_01,Produce,5.82,0,None,11.44
2023-03-05,store_1,item_01,Produce,5.36,0,None,12.51
2023-03-06,store_1,item_01,Produce,5.41,0,None,9.32
2023-03-07,store_1,item_01,Produce,5.64,0,None,11.97
2023-03-08,store_1,item_01,Produce,5.18,0,None,10.45
2023-03-09,store_1,item_01,Produce,5.57,0,None,14.64
2023-03-10,store_1,item_01,Produce,5.94,0,None,19.38
2023-03-11,store_1,item_01,Produce,5.59,0,None,12.44
2023-03-12,store_1,item_01,Produce,5.03,0,None,16.0
2023-03-13,store_1,item_01,Produce,5.32,0,None,11.98
2023-03-14,store_1,item_01,Produce,5.37,0,None,12.65
2023-03-15,store_1,item_01,Produce,5.73,0,None,13.12
2023-03-16,store_1,item_01,Produce,5.02,1,Promo,15.52
2023-03-17,store_1,item_01,Produce,4.68,1,Promo,17.24
2023-03-18,store_1,item_01,Produce,5.04,1,Promo,25.36
2023-03-19,store_1,item_01,Produce,5.53,0,None,17.6
2023-03-20,store_1,item_01,Produce,5.39,0,None,10.37
2023-03-21,store_1,item_01,Produce,5.29,0,None,11.6
2023-03-22,store_1,item_01,Produce,5.97,0,None,10.87
2023-03-23,store_1,item_01,Produce,5.68,0,None,10.94
2023-03-24,store_1,item_01,Produce,5.7,0,None,14.06
2023-03-25,store_1,item_01,Produce,5.47,0,None,15.49
2023-03-26,store_1,item_01,Produce,5.36,0,None,16.81
2023-03-27,store_1,item_01,Produce,5.4,0,None,10.56
2023-03-28,store_1,item_01,Produce,5.22,0,None,14.1
2023-03-29,store_1,item_01,Produce,5.85,0,None,13.61
2023-03-30,store_1,item_01,Produce,5.47,0,None,14.25
2023-03-31,store_1,item_01,Produce,5.79,0,None,13.88
2023-04-01,store_1,item_01,Produce,5.41,0,None,18.63
2023-04-02,store_1,item_01,Produce,5.59,0,None,19.54
2023-04-03,store_1,item_01,Produce,5.54,0,None,10.73
2023-04-04,store_1,item_01,Produce,5.2,0,None,17.95
2023-04-05,store_1,item_01,Produce,5.88,0,None,13.05
2023-04-06,store_1,item_01,Produce,5.42,0,None,17.4
2023-04-07,store_1,item_01,Produce,5.26,0,None,11.92
2023-04-08,store_1,item_01,Produce,5.64,0,None,15.14
2023-04-09,store_1,item_01,Produce,5.5,0,None,15.88
2023-04-10,store_1,item_01,Produce,5.57,0,None,17.3
